Order_ID,Order_Date,Customer_ID,Product_ID,Salesperson_ID,Region_ID,Units_Sold,Unit_Price,Cost_Price,Revenue,Profit,Region_Name,Country,Year,Order_Year,Product_Name,Profit_Unit,Day,Month_Name
10001,2024-03-23,86,6,15,1,11,489,366,5379,1353,North,USA,2024,2024,Printer,123.0,Saturday,March
10002,2024-06-20,694,3,5,3,7,474,327,3318,1029,East,INDIA,2024,2024,Tablet,147.0,Thursday,June
10003,2024-01-19,229,3,9,1,11,474,176,5214,3278,North,USA,2024,2024,Tablet,298.0,Friday,January
10004,2023-05-11,923,2,5,4,1,787,682,787,105,West,GERMANY,2023,2023,Smartphone,105.0,Thursday,May
10005,2024-09-20,154,5,1,3,12,943,829,11316,1368,East,INDIA,2024,2024,Headphones,114.0,Friday,September
10006,2024-04-16,904,6,5,3,1,489,421,489,68,East,INDIA,2024,2024,Printer,68.0,Tuesday,April
10007,2023-06-21,548,2,5,2,12,787,724,9444,756,South,GERMANY,2023,2023,Smartphone,63.0,Wednesday,June
10008,2024-01-10,547,6,11,3,2,489,324,978,330,East,INDIA,2024,2024,Printer,165.0,Wednesday,January
10009,2024-10-11,79,3,12,4,10,474,400,4740,740,West,GERMANY,2024,2024,Tablet,74.0,Friday,October
10010,2023-07-31,631,6,17,1,8,489,370,3912,952,North,USA,2023,2023,Printer,119.0,Monday,July
10011,2025-04-01,458,2,4,1,7,787,570,5509,1519,North,USA,2025,2025,Smartphone,217.0,Tuesday,April
10012,2024-06-30,507,4,13,4,15,1270,1075,19050,2925,West,GERMANY,2024,2024,Monitor,195.0,Sunday,June
10013,2023-09-05,320,1,19,4,11,1318,1191,14498,1397,West,GERMANY,2023,2023,Laptop,127.0,Tuesday,September
10014,2024-02-02,501,3,14,3,2,474,348,948,252,East,INDIA,2024,2024,Tablet,126.0,Friday,February
10015,2023-07-14,685,5,19,3,10,943,725,9430,2180,East,INDIA,2023,2023,Headphones,218.0,Friday,July
10016,2024-09-20,750,1,4,4,6,1318,1147,7908,1026,West,GERMANY,2024,2024,Laptop,171.0,Friday,September
10017,2025-04-11,410,2,20,1,10,787,586,7870,2010,North,USA,2025,2025,Smartphone,201.0,Friday,April
10018,2023-08-07,350,4,12,4,6,1270,1072,7620,1188,West,GERMANY,2023,2023,Monitor,198.0,Monday,August
